code,name,companyCode_code,controllingArea
20XD,NCT-CONS,DE20,DEV3
24AD,ADMINISTRATION (GENE,IT24,ITV3
24EE,AGRI PRODUCTS,IT24,ITV3
24EM,MARINE PRODUCTS,IT24,ITV3
24EQ,FOOD PRODUCTS,IT24,ITV3
24FA,GRAIN & FEED,IT24,ITV3
24GA,ADMINISTRATION (OFFI,IT24,ITV3
24GF,FUND CONTROL A/C,IT24,ITV3
24HO,ADMINISTRATION (HEAD,IT24,ITV3
24HP,PLASTICS,IT24,ITV3
24LK,IND.TEXT.(TEAM),IT24,ITV3
24MI,MILK PRODUCTS,IT24,ITV3
24MR,Mila Schon RetailBss,IT24,ITV3
24MS,Mila Schon,IT24,ITV3
24OB,Orobianco,IT24,ITV3
24OH,OVER HEAD FOR MR. MA,IT24,ITV3
24RE,LAST YEAR P/L EARNED,IT24,ITV3
24SN,BRAND MARKETING 1,IT24,ITV3
24SO,BRAND MARKETING 2,IT24,ITV3
24SP,FILAMENT YARN,IT24,ITV3
24SR,BRAND MARKETING 3,IT24,ITV3
24TL,GENERAL A/C CONTROL,IT24,ITV3
24UM,FEED ADDITIVE,IT24,ITV3
24YY,OILS & FATS,IT24,ITV3
24ZL,"GRAIN,DAIRY PRODUCTS",IT24,ITV3
33AB,PLANT & PROJECT,ZA33,ZAV3
33BO,AUTO AFRICA SECTION,ZA33,ZAV3
33CM,INDUSTRIAL MACHINERY,ZA33,ZAV3
33CQ,WOODCHIP,ZA33,ZAV3
33DH,AUTO AFRICA SECTION2,ZA33,ZAV3
33FH,FOOD MARKETING,ZA33,ZAV3
33HB,CHEMICALS,ZA33,ZAV3
33HF,BTF HELI FORKLIFT,ZA33,ZAV3
33JA,Construction+Realty,ZA33,ZAV3
33KU,ICT DEPARTMENT,ZA33,ZAV3
33LB,CERAMICS & MINERALS,ZA33,ZAV3
33MI,METAL & MINERAL MISI,ZA33,ZAV3
33MQ,URANIUM,ZA33,ZAV3
33NX,NEW ENERGY-COAL DIV,ZA33,ZAV3
33PP,PULP & PAPER PRODUCT,ZA33,ZAV3
33PR,PLATREEF DEVELOPMENT,ZA33,ZAV3
33RI,METALS & MINERAL,ZA33,ZAV3
33SA,TEXTILE MATERIALS,ZA33,ZAV3
33SP,BTF SPLICER,ZA33,ZAV3
33UR,FRESH FOOD DIVISION,ZA33,ZAV3
33WQ,SOLAR,ZA33,ZAV3
33XA,ADMIN A/C (OVERHEAD),ZA33,ZAV3
33XB,ADMIN (HEAD OFFICE),ZA33,ZAV3
33XC,FUND CONTROL A/C,ZA33,ZAV3
33XD,AFRICA ZZ A/C,ZA33,ZAV3
33XE,Africa(New Develop 2,ZA33,ZAV3
33XF,AFRICA (NEW DEVELOP),ZA33,ZAV3
33XG,AFRICA (NEW DEVELOP,ZA33,ZAV3
33XO,ADMIN DEVELOPMENT,ZA33,ZAV3
33YI,ENERGY DEVELOPMENT,ZA33,ZAV3
33YU,ENERGY TRADE,ZA33,ZAV3
33ZD,TEXTILE,ZA33,ZAV3
33ZL,FOOD PROVISIONS,ZA33,ZAV3
33ZP,FOOD PROVISIONS-ZP,ZA33,ZAV3
33ZQ,FRESH FOOD BUSINESS,ZA33,ZAV3
33ZW,IT & TELECOM,ZA33,ZAV3
501B,III Brands LLC /NYK,US50,USV3
501P,ITOCHU Prominent USA,US50,USV3
501Y,Internal Cap & R/E /,US50,USV3
501Z,Textile Division/NYK,US50,USV3
502A,C&E Trading,US50,USV3
502D,Isuzu CommTr of Amer,US50,USV3
502E,Isuzu Fin of Amer-Eq,US50,USV3
502F,KMRF LLC,US50,USV3
502G,TEXMAC  /NYK,US50,USV3
502H,Power Projects I/NYK,US50,USV3
502I,Aerospace,US50,USV3
502J,Industrials /NYK,US50,USV3
502K,Denyo Mfg. Corp./NYK,US50,USV3
502L,Auto PRU,US50,USV3
502M,Railway Project/NYK,US50,USV3
502N,No Amer Engy Svc/NYK,US50,USV3
502O,Healthcare&Ind.Sys.,US50,USV3
502P,IndustriousGr-Eq,US50,USV3
502Q,Multiquip Inc./NYK,US50,USV3
502R,Telerent /NYK,US50,USV3
502S,TYR Wind Equity A/C,US50,USV3
502T,TYR Energy /NYK,US50,USV3
502U,CIPSA /NYK,US50,USV3
502V,IAAI -Equity,US50,USV3
502W,Construct Mach/NYK,US50,USV3
502X,ZAXIS FinSvc Ame LLC,US50,USV3
502Y,Internal Cap & R/E,US50,USV3
502Z,Machinery Div./NYK,US50,USV3
503A,Mobile Business,US50,USV3
503B,SVL Next Gen Biz Gr,US50,USV3
503C,SVL GM,US50,USV3
503F,Financial & Insuranc,US50,USV3
503I,IT Business,US50,USV3
503K,Advance Media Techno,US50,USV3
503L,New Business Develop,US50,USV3
503M,Silicon Valley Offic,US50,USV3
503N,Churchill,US50,USV3
503O,AV Healthcare Exp,US50,USV3
503R,Avidex Equity A/C,US50,USV3
503S,SilverSky,US50,USV3
503T,Technologent,US50,USV3
503V,Veros,US50,USV3
503W,We Sell Cellular,US50,USV3
503Y,Int Cap & RE/NYK,US50,USV3
503Z,ICT&FB Div GM,US50,USV3
505A,Nuclear Fuel /NYK,US50,USV3
505K,Coal /NYK,US50,USV3
505L,Metal & Minerals/NYK,US50,USV3
505M,SolarNet Holdings LL,US50,USV3
505N,Solar Business /NYK,US50,USV3
505O,Solar&Environ Busn/N,US50,USV3
505V,ITOCHU Mexico Non-Fe,US50,USV3
505Y,Int Capital &RE/NYK,US50,USV3
505Z,Metal Mineral Div GM,US50,USV3
506A,Grain Products /PTL,US50,USV3
506B,Grain /PTL,US50,USV3
506C,Soybean /NYK,US50,USV3
506D,Feedstuff Mat/NYK,US50,USV3
506E,Cocoa&Confection/NYK,US50,USV3
506F,Fuji Oil Int Inc,US50,USV3
506G,Oils & Fats Trading,US50,USV3
506H,Cocoa Trading,US50,USV3
506K,EXIM COOP/NYK,US50,USV3
506L,Quality Technologies,US50,USV3
506M,CGB Enterprises/NYK,US50,USV3
506N,ICREST Int'l LLC/LOS,US50,USV3
506O,Oilseeds Int'l Ltd,US50,USV3
506P,"EGT, LLC /NYK",US50,USV3
506V,Food - Meat /MEX,US50,USV3
506W,Food-Animal Fd /MEX,US50,USV3
506Y,Internal Cap/RE/NYK,US50,USV3
506Z,Food Division/NYK,US50,USV3
507A,Pulp & Paper/NYK,US50,USV3
507B,Pulp &Paper Prod/SFR,US50,USV3
507C,Cement/NYK,US50,USV3
507D,Tires II /NYK,US50,USV3
507F,IMI GP Walsh LLC Equ,US50,USV3
507G,IMI GP Equity,US50,USV3
507H,IBP Holdings Inc.,US50,USV3
507I,IMI Charlotte LP Equ,US50,USV3
507J,IMI Walsh LP Equity,US50,USV3
507K,Alta Forest Products,US50,USV3
507M,Master Halco /NYK,US50,USV3
507N,Cerabeads /NYK,US50,USV3
507O,Realty /NYK,US50,USV3
507P,Business Development,US50,USV3
507Q,Pacific Woodtech/NYK,US50,USV3
507R,Project Gemini /NYK,US50,USV3
507S,ITR-USA Inc. /NYK,US50,USV3
507T,Primesource /NYK,US50,USV3
507U,Building Material,US50,USV3
507V,General Products/MEX,US50,USV3
507X,Log & Lumber (Hist),US50,USV3
507Y,Internal Cap/RE/NYK,US50,USV3
